accessionVersion,genotype,sampleCollectionDate,geoLocCountry,geoLocAdmin1,authors,authorAffiliations,hostNameScientific,length,earliestReleaseDate,submissionId,groupName,dataUseTerms,dataUseTermsUrl,biosampleAccession,completeness,geoLocAdmin2,geoLocCity,insdcAccessionFull,insdcRawReadsAccession,isLabHost,specimenCollectorSampleId,totalAmbiguousNucs,totalUnknownNucs
PP_004FFQ4.1,D8,2024-03-11,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614704.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985277463193658,,,PX614704.1,,,MVs/Noord-Brabant.NLD/10.24[D8],1,152
PP_004FFR2.1,D8,2024-03-11,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614705.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985277463193658,,,PX614705.1,,,MVs/Noord-Brabant.NLD/10.24/2[D8],1,152
PP_004FFS0.1,D8,2024-03-13,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614706.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9853403800176168,,,PX614706.1,,,MVs/Noord-Brabant.NLD/11.24[D8],0,152
PP_004FFTY.1,D8,2024-03-23,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614707.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9848999622499056,,,PX614707.1,,,MVs/Noord-Brabant.NLD/12.24/3[D8],7,152
PP_004FFUW.1,D8,2024-03-21,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614708.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614708.1,,,MVs/Noord-Brabant.NLD/12.24[D8],0,0
PP_004FFVU.1,D8,2024-03-21,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614709.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614709.1,,,MVs/Noord-Brabant.NLD/12.24/2[D8],0,0
PP_004FFWS.1,D8,2024-03-26,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614710.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9913803951176544,,,PX614710.1,,,MVs/Noord-Brabant.NLD/13.24[D8],2,54
PP_004FFXQ.1,D8,2024-03-25,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614711.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614711.1,,,MVs/Noord-Brabant.NLD/13.24/2[D8],0,0
PP_004FFYN.1,D8,2024-03-27,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614712.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614712.1,,,MVs/Noord-Brabant.NLD/13.24/3[D8],0,0
PP_004FFZL.1,D8,2024-03-06,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614713.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614713.1,,,MVs/Noord-Brabant.NLD/10.24/3[D8],0,0
PP_004FG0J.1,D8,2024-03-28,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614714.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614714.1,,,MVs/Noord-Brabant.NLD/13.24/4[D8],0,0
PP_004FG1G.1,D8,2024-04-05,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614715.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614715.1,,,MVs/Noord-Brabant.NLD/13.24/6[D8],0,0
PP_004FG2E.1,D8,2024-04-07,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614716.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614716.1,,,MVs/Noord-Brabant.NLD/14.24/3[D8],0,0
PP_004FG3C.1,D8,2024-04-14,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614717.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614717.1,,,MVs/Noord-Brabant.NLD/15.24[D8],0,0
PP_004FG4A.1,D8,2024-04-01,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614718.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614718.1,,,MVs/Noord-Brabant.NLD/16.24/2[D8],0,0
PP_004FG58.1,D8,2024-04-03,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614719.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614719.1,,,MVs/Noord-Brabant.NLD/14.24[D8],0,0
PP_004FG66.1,D8,2024-04-04,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614720.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9948408204353844,,,PX614720.1,,,MVs/Noord-Brabant.NLD/14.24/2[D8],1,0
PP_004FG74.1,D8,2024-04-16,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614721.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614721.1,,,MVs/Noord-Brabant.NLD/16.24[D8],0,0
PP_004FG82.1,D8,2024-04-23,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614722.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614722.1,,,MVs/Zuid-Holland.NLD/16.24[D8],0,0
PP_004FG90.1,D8,2024-05-23,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15365,2025-12-27,PX614723.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9665911664779162,,,PX614723.1,,,MVs/Limburg.NLD/21.24[D8],1,1
PP_004FGAY.1,D8,2024-05-11,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15632,2025-12-27,PX614724.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9733232666415,,,PX614724.1,,,MVs/Utrecht.NLD/19.24[D8],0,162
PP_004FGBW.1,D8,2024-04-14,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614725.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9947779036114256,,,PX614725.1,,,MVs/Noord-Brabant.NLD/15.24/2[D8],2,0
PP_004FGCU.1,D8,2024-05-31,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614726.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9948408204353844,,,PX614726.1,,,MVs/Gelderland.NLD/22.24[D8],1,0
PP_004FGDS.1,D8,2024-05-30,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15365,2025-12-27,PX614727.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9667170001258336,,,PX614727.1,,,MVs/Noord-Brabant.NLD/22.24[D8],0,0
PP_004FGEQ.1,D8,2024-06-04,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614728.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9948408204353844,,,PX614728.1,,,MVs/Limburg.NLD/23.24[D8],0,1
PP_004FGFN.1,D8,2024-05-30,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614729.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614729.1,,,MVs/Noord-Holland.NLD/22.24[D8],0,0
PP_004FGGL.1,D8,2024-06-11,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614730.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614730.1,,,MVs/Zuid-Holland.NLD/24.24[D8],0,0
PP_004FGHH.1,D8,2024-06-11,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614731.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614731.1,,,MVs/Zuid-Holland.NLD/23.24[D8],0,0
PP_004FGJF.1,D8,2024-06-07,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614732.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9948408204353844,,,PX614732.1,,,MVs/Zuid-Holland.NLD/23.24/2[D8],1,0
PP_004FGKD.1,D8,2024-07-01,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614733.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614733.1,,,MVs/Utrecht.NLD/26.24[D8],0,0
PP_004FGLB.1,D8,2024-07-06,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614734.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614734.1,,,MVs/Zuid-Holland.NLD/27.24[D8],0,0
PP_004FGM9.1,D8,2024-06-26,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614735.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614735.1,,,MVs/Zuid-Holland.NLD/26.24/2[D8],0,0
PP_004FGN7.1,D8,2024-06-11,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614736.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614736.1,,,MVs/Zuid-Holland.NLD/23.24/3[D8],0,0
PP_004FGP5.1,D8,2024-07-01,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614737.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614737.1,,,MVs/Zuid-Holland.NLD/26.24/3[D8],0,0
PP_004FGQ3.1,D8,2024-07-01,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614738.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9948408204353844,,,PX614738.1,,,MVs/Zuid-Holland.NLD/27.24/4[D8],1,0
PP_004FGR1.1,D8,2024-07-02,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614739.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9948408204353844,,,PX614739.1,,,MVs/Zuid-Holland.NLD/27.24/5[D8],1,0
PP_004FGSZ.1,D8,2024-07-01,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614740.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614740.1,,,MVs/Zuid-Holland.NLD/26.24/4[D8],0,0
PP_004FGTX.1,D8,2024-07-09,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614741.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9948408204353844,,,PX614741.1,,,MVs/Zuid-Holland.NLD/27.24/2[D8],1,0
PP_004FGUV.1,D8,2024-07-15,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614742.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614742.1,,,MVs/Zuid-Holland.NLD/28.24/2[D8],0,0
PP_004FGVT.1,D8,2024-07-15,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614743.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9948408204353844,,,PX614743.1,,,MVs/Zuid-Holland.NLD/28.24/3[D8],1,0
PP_004FGWR.1,D8,2024-07-16,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614744.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614744.1,,,MVs/Zuid-Holland.NLD/29.24[D8],0,0
